IPC	Parent_IPC	Level	Description	Description_EN
B60R13/02	B60R13/00	4	装饰嵌条；壁架；壁衬；顶衬（B60R 13/01优先）〔5〕	Trim mouldings; Ledges; Wall liners; Roof liners (B60R 13/01 takes precedence) [5]
B60R13/04	B60R13/00	4	装饰条或护条；装饰刻字装置	Ornamental or guard strips; Ornamental inscriptive devices
B60R13/06	B60R13/00	4	密封条（用于车窗、挡风玻璃、非固定车顶、门或类似装置的密封设施入B60J 10/00） 	Sealing strips
B60R13/07	B60R13/00	4	不是与车顶结构做成一体的排水或导水装置（B60R 13/06优先；用于罩或盖的水导流器入B62D 25/13）〔4〕	Water drainage or guide means not integral with roof structure (B60R 13/06 takes precedence; water deflectors for bonnets or lids B62D 25/13) [4]
B60R13/08	B60R13/00	4	隔离构件，例如用于隔音的〔4〕	Insulating elements, e.g. for sound insulation [4]
B60R13/10	B60R13/00	4	注册证、许可证或类似证件	Registration, licensing, or like devices
B60R15/00	B60R	3	卫生设备的布置或配置	Arrangements or adaptations of sanitation devices
B60R15/02	B60R15/00	4	洗涤设备	Washing facilities
B60R15/04	B60R15/00	4	盥洗设备	Toilet facilities
B60R16/00	B60R	3	专门适用于车辆并且其他类目不包含的电路或流体管路；专门适用于车辆并且其他类目中不包含的电路或流体管路的元件的布置 〔3〕	Electric or fluid circuits specially adapted for vehicles and not otherwise provided for; Arrangement of elements of electric or fluid circuits specially adapted for vehicles and not otherwise provided for [3]
B60R16/02	B60R16/00	4	电气的〔3〕	electric [3]
B60R16/023	B60R16/02	5	用于车辆部件之间或子系统之间传输信号的〔8〕	for transmission of signals between vehicle parts or subsystems [8]
B60R16/027	B60R16/023	6	车辆的相关活动部件之间，如方向盘和转向柱之间 〔8〕	between relatively movable parts of the vehicle, e.g. between steering wheel and column [8]
B60R16/03	B60R16/02	5	用于向车辆子系统供电的 〔8〕	for supply of electrical power to vehicle subsystems [8]
B60R16/033	B60R16/03	6	以电池或蓄电池的应用为特征（用于动力目的入B60K 1/04； 用于将蓄电池安装到车辆上或由其上拆卸下来入B60S 5/06；充电状态测试入G01R 31/36） 〔8〕	characterised by the use of electrical cells or batteries [8]
B60R16/037	B60R16/02	5	用于使乘客舒适的 〔8〕	for occupant comfort [8]
B60R16/04	B60R16/02	5	蓄电池的布置  〔3，6，8〕	Arrangement of batteries [3, 6, 8]
B60R16/06	B60R16/02	5	用于消除静电荷的 〔3〕	for carrying-off electrostatic charges [3]
B60R16/08	B60R16/00	4	流体的  〔3〕	fluid [3]
B60R17/00	B60R	3	润滑系统或装置的布置或配置（一般润滑入F16N）	Arrangements or adaptations of lubricating systems or devices
B60R17/02	B60R17/00	4	系统，例如中心润滑系统	Systems, e.g. central lubrication systems
B60R19/00	B60R	3	轮罩；散热器防护栅；障碍物清除装置；碰撞冲力的阻尼配件（挡泥板入B62D）	Wheel guards; Radiator guards; Obstruction removers; Fittings damping bouncing force in collisions (mudguards B62D 25/16 )
B60R19/02	B60R19/00	4	缓冲器或保险杠，即承受或吸收冲击的构件，用于防护车辆或挡开其他车辆或物体的碰撞（由保险杠接触外部物体引起制动作用的入B60T 7/22；用于轨道车辆的入B61F 19/04；用于自行车的安全装置入B62J 27/00；与水上船只成一体的或专门适用于水上船只的入B63B 59/02）〔4〕	Bumpers, i.e. impact receiving or absorbing members for protecting vehicles or fending off blows from other vehicles or objects (integral with waterborne vessels or specially adapted therefor B63B 59/02 ) [4]
B60R19/03	B60R19/02	5	以材料为特点的，例如合成材料（B60R 19/18优先）〔4〕	characterised by material, e.g. composite (B60R 19/18 takes precedence) [4]
B60R19/04	B60R19/02	5	由一个以上部分构成的（B60R 19/18优先）〔4〕	formed from more than one section (B60R 19/18 takes precedence) [4]
B60R19/12	B60R19/04	6	被垂直间隔的〔4〕	vertically spaced [4]
B60R19/14	B60R19/04	6	有折叠零件的〔4〕	having folding parts [4]
B60R19/16	B60R19/04	6	有变位构件的，例如滚轮、球体〔4〕	having deflecting members, e.g. rollers, balls [4]
B60R19/18	B60R19/02	5	保险杠内吸收冲击的装置〔4〕	Means within the bumper to absorb impact [4]
B60R19/20	B60R19/18	6	包含气体或液体，例如可充注的（阀与可膨胀弹性体的连接入B60C 29/00）〔4〕	containing gas or liquid, e.g. inflatable [4]
B60R19/22	B60R19/18	6	包含多孔材料的，例如固体泡沫材料〔4〕	containing cellular material, e.g. solid foam [4]
B60R19/24	B60R19/02	5	用于在车上安装保险杠的装置〔4〕	Arrangements for mounting bumpers on vehicles [4]
B60R19/26	B60R19/24	6	包括塑性变形的固定装置（弹簧、减震器或用于阻尼振动的装置本身入F16F）〔4〕	comprising yieldable mounting means [4]
B60R19/28	B60R19/26	7	金属弹簧〔4〕	Metallic springs [4]
B60R19/30	B60R19/26	7	弹性材料〔4〕	Elastomeric material [4]
B60R19/32	B60R19/26	7	流体减震器〔4〕	Fluid shock absorbers [4]
B60R19/34	B60R19/26	7	冲击时损坏，例如一次冲击型〔4〕	destroyed upon impact, e.g. one-shot type [4]
B60R19/36	B60R19/26	7	不同型式塑性变形固定装置的组合〔4〕	Combinations of yieldable mounting means of different types [4]
B60R19/38	B60R19/24	6	可调整的或活动安装的，例如水平可移动的，用于保证停放车辆之间有一定间距〔4〕	adjustably or movably mounted, e.g. horizontally displaceable for securing a space between parked vehicles [4]
B60R19/40	B60R19/38	7	碰撞前向着障碍物方向〔4〕	in the direction of an obstacle before a collision [4]
B60R19/42	B60R19/02	5	主要安置在车辆两侧或围绕整个车辆的（装饰条或护条入B60R 13/04）〔4〕	extending primarily along the sides of, or completely encircling, a vehicle [4]
B60R19/44	B60R19/02	5	缓冲器护板〔4〕	Bumper guards [4]
B60R19/46	B60R19/44	6	弹簧或转动安装的〔4〕	spring- or pivotally-mounted [4]
B60R19/48	B60R19/02	5	结合或可转换成其他装置或物体的，例如保险杠结合清道刷帚，保险杠可转换成机架〔4〕	combined with, or convertible into, other devices or objects, e.g. bumpers combined with road brushes, bumpers convertible into beds [4]
B60R19/50	B60R19/48	6	带有灯或牌照的〔4〕	with lights or registration plates [4]
B60R19/52	B60R19/00	4	散热器或护栅〔4〕	Radiator or grille guards [4]
B60R19/54	B60R19/00	4	障碍物清除装置或挡板（B60R 19/16，B60R 21/34优先）〔4〕	Obstruction removers or deflectors (B60R 19/16, B60R 21/34 take precedence) [4]
B60R19/56	B60R19/00	4	在高乘座车辆上的配置，例如在载重汽车上，用于防止车辆或物体在其下运动〔4〕	Arrangements on high-riding vehicles, e.g. lorries, for preventing vehicles or objects from running thereunder [4]
B60R21/00	B60R	3	在发生事故或出现其他交通危险时保护或防止乘客或行人受伤的车上装置或配件（车内安全带或护身带入B60R 22/00；一般救生用装置、器械或方法入A62B；专门适用于或安装在车上的动力装置控制机构的安全装置入B60K 28/00；防止乘客受不正常的惯性力作用而设置的座椅，例如碰撞或保险座椅入B60N 2/42；用于可转向车辆的方向盘的吸能装置入B62D 1/11；用于转向柱的吸能装置入B62D 1/19；飞机内吊带装置入B64D 25/00）〔4，5〕	Arrangements or fittings on vehicles for protecting or preventing injuries to occupants or pedestrians in case of accidents or other traffic risks (safety belts or body harnesses in vehicles B60R 22/00 ; seats constructed to protect the occupant from the effect of abnormal g-forces, e.g. crash or safety seats, B60N 2/42 ; energy-absorbing arrangements for hand wheels for steering vehicles B62D 1/11 ; energy-absorbing arrangements for vehicle steering columns B62D 1/19 ) [4, 5]
B60R21/01	B60R21/00	4	在车辆发生事故或即将发生事故时触发安全保护装置的电路〔7〕	Electrical circuits for triggering safety arrangements in case of vehicle accidents or impending vehicle accidents [7]
B60R21/013	B60R21/01	5	包含用于探测碰撞、即将到来的碰撞或翻滚的装置的 〔8〕	including means for detecting collisions, impending collisions or roll-over [8]
B60R21/0132	B60R21/013	6	响应车辆运动参数的 〔8〕	responsive to vehicle motion parameters [8]
B60R21/0134	B60R21/013	6	响应即将与障碍物接触的 〔8〕	responsive to imminent contact with an obstacle [8]
B60R21/0136	B60R21/013	6	响应与障碍物实际接触的 〔8〕	responsive to actual contact with an obstacle [8]
B60R21/015	B60R21/01	5	包含检测乘客的存在位置、乘客座椅或儿童座椅的装置的，如关闭触发装置 〔8〕	including means for detecting the presence or position of passengers, passenger seats or child seats, e.g. for disabling triggering [8]
B60R21/017	B60R21/01	5	包括给安全装置供电的装置的 〔8〕	including arrangements for providing electric power to the safety arrangements [8]
B60R21/02	B60R21/00	4	乘客安全保护装置或配件〔4〕	Occupant safety arrangements or fittings [4]
B60R21/04	B60R21/02	5	用于车内的衬垫面层〔4〕	Padded linings for the vehicle interior [4]
B60R21/045	B60R21/04	6	与仪表板或驾驶室前壁有关的〔4〕	associated with the instrument panel or dashboard [4]
B60R21/05	B60R21/04	6	与方向盘、手杆或转向柱有关的（可塌陷转向柱入B62D 1/18）〔4，5〕	associated with the steering wheel, hand lever or column [4, 5]
B60R21/055	B60R21/02	5	衬垫配件，例如座椅头枕、遮阳板〔4〕	Padded fittings, e.g. head rests, sun visors [4]
B60R21/06	B60R21/02	5	安全阀、透明板、帘幕或类似物，例如乘客与玻璃之间的（B60R 21/11，B60R 21/12，B60R 21/16优先）〔4〕	Safety nets, transparent sheets, curtains, or the like, e.g. between occupants and glass (B60R 21/11, B60R 21/12, B60R 21/16 take precedence) [4]
B60R21/08	B60R21/06	6	由非工作位置可移至工作位置的，例如在发生碰撞时（触发安全保护装置的电路入B60R 21/01）〔4，7〕	movable from an inoperative to an operative position, e.g. in a collision [4, 7]
