申请人,国家,分国专利数
京都大学,日本,1
气体产品与化学公司,日本,1
胜华科技股份有限公司,中国台湾,1
三星电子株式会社,美国,3
住友金属矿山株式会社,中国,1
TSM公司,韩国,1
柯尼卡美能达株式会社,日本,1
江苏南大光电材料股份有限公司,日本,1
日新电机株式会社,日本,1
三星康宁先进玻璃有限责任公司,中国,1
王长津,中国,1
NANEXA,欧洲专利局,1
纽富来科技股份有限公司,日本,1
巴艾兰大学,中国,1
田村株式会社 | 国立大学法人东京农工大学,日本,1
韩国科学技术研究院,韩国,1
中国科学院金属研究所,中国,1
亚利桑拿州立大学,美国,1
住友电气工业株式会社 | 株式会社光波,日本,1
株式会社东芝,日本,1
琳得科株式会社,日本,1
泉州市博泰半导体科技有限公司,中国,1
中国科学院半导体研究所,美国,1
住友电工光电子器件创新株式会社,日本,1
旭硝子株式会社,日本,6
财团法人工业技术研究院,中国台湾,1
中国科学院上海硅酸盐研究所 | 上海上硅中试基地科技有限公司,中国,2
株式会社爱发科,日本,2
三菱瓦斯化学株式会社,中国台湾,1
福吉米株式会社,美国,1
SLT科技公司,日本,1
株式会社籐仓,日本,2
赣州市创发光电科技有限公司,中国,4
朝鲜大学校产学协力团,韩国,2
海洋王照明科技股份有限公司 | 深圳市海洋王照明技术有限公司 | 深圳市海洋王照明工程有限公司,中国,3
申集半导体科技(徐州)有限公司,中国,1
南开大学,中国,4
学校法人法政大学,中国,1
TOP MATERIALS,韩国,1
希波特公司 | 首尔半导体股份有限公司,中国台湾,1
广州新视界光电科技有限公司,中国,1
瑞霸史東工業股份有限公司,日本,1
三菱电机株式会社,日本,2
